Unnamed: 0,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,fwd_pkts_payload.min,fwd_pkts_payload.max,fwd_pkts_payload.tot,fwd_pkts_payload.avg,fwd_pkts_payload.std,bwd_pkts_payload.min,bwd_pkts_payload.max,bwd_pkts_payload.tot,bwd_pkts_payload.avg,bwd_pkts_payload.std,flow_pkts_payload.min,flow_pkts_payload.max,flow_pkts_payload.tot,flow_pkts_payload.avg,flow_pkts_payload.std,fwd_iat.min,fwd_iat.max,fwd_iat.tot,fwd_iat.avg,fwd_iat.std,bwd_iat.min,bwd_iat.max,bwd_iat.tot,bwd_iat.avg,bwd_iat.std,flow_iat.min,flow_iat.max,flow_iat.tot,flow_iat.avg,flow_iat.std,payload_bytes_per_second,fwd_subflow_pkts,bwd_subflow_pkts,fwd_subflow_bytes,bwd_subflow_bytes,fwd_bulk_bytes,bwd_bulk_bytes,fwd_bulk_packets,bwd_bulk_packets,fwd_bulk_rate,bwd_bulk_rate,active.min,active.max,active.tot,active.avg,active.std,idle.min,idle.max,idle.tot,idle.avg,idle.std,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,bwd_last_window_size,traffic,is_attack
91416,10.10.10.252,36860,10.10.10.0,137,udp,dns,-,-,-,S0,T,T,0,D,1,78,0,0,-,0.0,1,0,1,0,0.0,0.0,0.0,0.0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,arpspoofing,1
3057295,10.10.10.252,59400,10.10.10.249,80,tcp,-,-,-,-,OTH,T,T,0,Dc,1,71,0,0,-,0.0,1,1,1,0,0.0,0.0,0.0,1.0,32,32,32,32,32,32,0,0,0,1,0,2,0,0,0,0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,25.0,35.355339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42881.011963,42881.011963,42881.011963,42881.011963,0.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42881.011963,42881.011963,42881.011963,42881.011963,0.0,0.0,0.0,0.0,0.0,0.0,501,506,501,506,rudeadyet,1
1762866,10.10.10.252,58889,10.10.10.249,1883,tcp,mqtt,4.766107,4441,0,OTH,T,T,0,DcAc,50,7041,0,0,-,4.784006,50,25,25,25,10.451492,5.225746,15.677237,0.5,1600,32,32,800,32,32,0,0,0,25,25,75,0,0,0,0,0.0,190.0,4480.0,89.6,90.589002,4.0,4.0,100.0,4.0,0.0,0.0,190.0,4580.0,61.066667,84.168,1142.978668,214901.924133,4784006.118774,97632.777934,98269.821978,183200.120926,217422.962189,4782173.871994,199257.244666,10720.770647,159.025192,214901.924133,4784006.118774,64648.731335,92252.815948,957.356635,50.0,25.0,4480.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4784006.118774,4784006.118774,4784006.118774,4784006.118774,0.0,0.0,0.0,0.0,0.0,0.0,502,501,502,501,mqttmalaria,1
332628,120.128.228.4,57573,65.25.142.59,61352,tcp,-,-,-,-,OTH,F,F,0,-,0,0,0,0,-,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,camoverflow,1
3220767,10.10.10.252,44644,10.10.10.249,80,tcp,http,0.021427,152,0,S0,T,T,0,ScAD,3,316,0,0,-,0.02081,3,2,1,0,144.162231,96.108154,240.270385,0.666667,104,32,40,72,32,40,0,2,0,1,0,4,0,0,0,0,0.0,152.0,152.0,50.666667,87.757241,0.0,0.0,0.0,0.0,0.0,0.0,152.0,152.0,30.4,67.976467,957.012177,19852.876663,20809.88884,10404.94442,13361.393915,20792.961121,20792.961121,20792.961121,20792.961121,0.0,41.007996,19852.876663,20850.896835,5212.724209,9768.318071,7304.219699,3.0,2.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20850.896835,20850.896835,20850.896835,20850.896835,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,502,508,slowloris,1
2576154,10.10.10.247,5683,10.10.10.249,5683,udp,-,0.002089,100,0,S0,T,T,0,Dc,3,184,0,0,-,0.001874,3,3,3,3,1600.879389,1600.879389,3201.758779,1.0,24,8,8,24,8,8,0,0,0,0,0,0,0,0,0,0,32.0,35.0,100.0,33.333333,1.527525,34.0,35.0,103.0,34.333333,0.57735,32.0,35.0,203.0,33.833333,1.169045,798.940659,1075.029373,1873.970032,936.985016,195.224202,7558.822632,7609.128952,15167.951584,7583.975792,35.57194,798.940659,9166.002274,26207.923889,5241.584778,3983.502858,108326.17201,3.0,3.0,100.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,26207.923889,26207.923889,26207.923889,26207.923889,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,normal,0
1111476,38.143.100.45,7145,202.82.117.103,11078,tcp,-,-,-,-,OTH,F,F,0,-,0,0,0,0,-,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,camoverflow,1
2565775,10.10.10.248,32770,10.10.10.249,1883,tcp,mqtt,4.058835,30,0,OTH,T,T,0,Dc,5,290,0,0,-,4.059643,5,5,5,0,1.231635,1.231635,2.463271,1.0,160,32,32,160,32,32,0,0,0,5,0,10,0,0,0,0,6.0,6.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,3.0,3.162278,1014550.924301,1015708.92334,4059643.030167,1014910.757542,536.357886,1014535.903931,1015723.94371,4059641.838074,1014910.459518,547.381747,118.017197,1015588.998795,4059761.047363,451084.560818,534772.325451,7.389812,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4059761.047363,4059761.047363,4059761.047363,4059761.047363,0.0,0.0,0.0,0.0,0.0,0.0,1825,509,1825,509,normal,0
1759693,10.10.10.252,43873,10.10.10.249,1883,tcp,mqtt,4.738536,4486,0,OTH,T,T,0,DcAc,50,7086,0,0,-,3.161189,34,17,17,17,10.755447,5.377724,16.133171,0.5,1088,32,32,544,32,32,0,0,0,17,17,51,0,0,0,0,0.0,182.0,2988.0,87.882353,89.252371,4.0,4.0,68.0,4.0,0.0,0.0,182.0,3056.0,59.921569,82.779428,1461.982727,213798.046112,3161188.840866,95793.601238,98214.118408,180387.973785,215713.024139,3159179.925919,197448.74537,11345.027938,170.946121,213798.046112,3161188.840866,63223.776817,91652.149837,966.724911,34.0,17.0,2988.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,3161188.840866,3161188.840866,3161188.840866,3161188.840866,0.0,0.0,0.0,0.0,0.0,0.0,502,2494,502,2628,mqttmalaria,1
17703,10.10.10.252,57330,10.10.10.249,80,tcp,-,0.063223,13280,0,SH,T,T,0,ScACF,4,216,0,0,-,0.063159,6,6,2,1,94.998354,94.998354,189.996708,1.0,200,32,40,200,32,40,2,2,0,2,1,11,0,0,0,0,0.0,7240.0,13192.0,2198.666667,3430.425435,0.0,152.0,152.0,25.333333,62.05374,0.0,7240.0,13344.0,1112.0,2576.616527,9.059906,38203.954697,63158.988953,12631.797791,16388.573533,47.206879,39455.1754,63214.063644,12642.812729,17851.290998,9.059906,38203.954697,63289.165497,5753.5605,12265.463345,211276.33962,6.0,6.0,13192.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,63289.165497,63289.165497,63289.165497,63289.165497,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,501,501,apachekiller,1
